State,Action,Reward
"[0.25, 0.20689655172413793, 0.0, 0.0, 0.00040004000400040005, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.0, 0.0, 0.0, 1.0, 0.009100910091009102, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.0, 0.0, 0.0, 1.0, 0.0089008900890089, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.0, 0.0, 0.0, 1.0, 0.009000900090009001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,10.0
"[0.5, 0.0, 0.0, 0.0, 1.0, 0.0027002700270027003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.5517241379310345, 0.0, 0.0, 0.00040004000400040005, 0.009100910091009102, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[1.0, 0.48275862068965514, 0.0, 0.0, 0.020002000200020003, 0.0007000700070007, 0.0, 0.0, 0.0, 0.5833333333333333, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.75, 0.0, 0.0, 0.0, 1.0, 0.015401540154015403, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.5862068965517241, 0.0, 0.0, 0.0016001600160016002, 0.010501050105010502, 0.0, 0.0, 0.0, 0.5416666666666666, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.0, 0.0, 0.0, 1.0, 0.012901290129012902, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.0, 0.0, 0.0, 1.0, 0.011601160116011602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.5862068965517241, 0.0, 0.0, 0.00040004000400040005, 1.0, 0.0, 0.0, 0.0, 0.041666666666666664, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.13793103448275862, 0.0, 0.0, 0.00040004000400040005, 1.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.2222222222222222, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",DM_sent,-0.01
"[0.75, 0.0, 0.0, 0.0, 1.0, 0.0098009800980098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.75, 1.0, 0.0, 0.0, 0.00010001000100010001, 0.010901090109010901, 0.0, 0.0, 0.0, 0.08333333333333333, 0.1111111111111111, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.48275862068965514, 0.0, 0.0, 0.014101410141014101, 0.0185018501850185, 0.0, 0.0, 0.0, 0.5833333333333333, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.0, 0.0, 0.0, 1.0, 0.0157015701570157, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",DM_sent,-0.01
"[0.75, 0.0, 0.0, 0.0, 1.0, 0.0032003200320032004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.48275862068965514, 0.0, 0.0, 0.00010001000100010001, 0.005900590059005901, 0.0, 0.0, 0.0, 0.5416666666666666, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.75, 0.0, 0.0, 0.0, 1.0, 0.012301230123012302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.75, 0.6551724137931034, 0.0, 0.0, 0.00040004000400040005, 0.005900590059005901, 0.0, 0.0, 0.0, 0.7916666666666666, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.75, 0.0, 0.0, 0.0, 1.0, 0.0098009800980098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.3103448275862069, 0.0, 0.0, 0.00040004000400040005, 1.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.1724137931034483, 0.0, 0.0, 0.00040004000400040005, 1.0, 0.0, 0.0, 0.0, 0.20833333333333331, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.25, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.0, 0.0, 0.0, 1.0, 0.011601160116011602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.5, 0.0, 0.0, 0.0, 1.0, 0.011601160116011602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.75, 0.0, 0.0, 0.0, 1.0, 0.0157015701570157, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
"[0.75, 0.0, 0.0, 0.0, 1.0, 0.012301230123012302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",DM_sent,-0.01
